Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title,host_label,virus_ID,collection_year,dataset
NC_048213,Infectious bronchitis virus,,"Senthil Kumar,V., Raja,A., Vijayarani,K., Roy,P.","National Center for Biotechnology Information, NIH",USA,2020-05-15,Ind-TN92-03,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),27464,RefSeq,complete,,,,India,India,,Gallus gallus,kidney,2003,,PRJNA485481,"Infectious bronchitis virus isolate Ind-TN92-03, complete genome",0,NC_048213,2003.0,known
NC_048214,Duck coronavirus,,"Zhuang,Q.Y., Wang,K.C., Liu,S., Hou,G.Y., Jiang,W.M., Wang,S.C., Li,J.P., Yu,J.M., Chen,J.M., Zhuang,Q., Wang,K., Hou,G., Jiang,W., Wang,S., Li,J., Yu,J., Chen,J.","National Center for Biotechnology Information, NIH",USA,2020-05-15,DK/GD/27/2014,Avian coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),27754,RefSeq,complete,,,1.0,China,China,,Anatidae,,2014,,PRJNA485481,"Duck coronavirus isolate DK/GD/27/2014, complete genome",0,NC_048214,2014.0,known
NC_048216,NL63-related bat coronavirus,,"Tao,Y., Shi,M., Chommanard,C., Queen,K., Zhang,J., Markotter,W., Kuzmin,I.V., Holmes,E.C., Tong,S., Kuzmin,I.","National Center for Biotechnology Information, NIH",USA,2020-05-15,,NL63-related bat coronavirus strain BtKYNL63-9b,Alphacoronavirus,Coronaviridae,ssRNA(+),28679,RefSeq,complete,,,1.0,Kenya,Kenya,,Triaenops afer,feces,2010-06-21,,PRJNA485481,"NL63-related bat coronavirus strain BtKYNL63-9b, complete genome",0,NC_048216,2010.0,known
NC_048217,Murine hepatitis virus,,"Sawicki,S.G., Sawicki,D.L., Younker,D., Meyer,Y., Thiel,V., Stokes,H., Siddell,S.G., Coley,S.E., Lavi,E., Fu,L., Schelle,B., Karl,N.","National Center for Biotechnology Information, NIH",USA,2020-05-15,,Murine coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),31335,RefSeq,complete,,,2.0,,,,NA,,nan,,PRJNA485481,"Murine hepatitis virus strain A59, complete genome",0,NC_048217,2020.0,unknown
NC_046954,Rodent coronavirus,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2020-04-12,RtMruf-CoV-2/JL2014,Rodent coronavirus,,Coronaviridae,ssRNA(+),31393,RefSeq,complete,,,1.0,China,China,,Myodes rufocanus,,2014-08,,PRJNA485481,"Rodent coronavirus isolate RtMruf-CoV-2/JL2014, complete genome",0,NC_046954,2014.0,known
NC_046955,Shrew coronavirus,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2020-04-12,Shrew-CoV/Tibet2014,Shrew coronavirus,,Coronaviridae,ssRNA(+),27102,RefSeq,complete,,,1.0,China,China,,Sorex araneus,,2014-12,,PRJNA485481,"Shrew coronavirus isolate Shrew-CoV/Tibet2014 ORF1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",0,NC_046955,2014.0,known
NC_046964,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,,"De Sabato,L., Lelli,D., Faccin,F., Canziani,S., Di Bartolo,I., Vaccari,G., Moreno,A.","National Center for Biotechnology Information, NIH",USA,2020-04-12,,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,Alphacoronavirus,Coronaviridae,ssRNA(+),28128,RefSeq,complete,,,1.0,Italy,Italy,,Pipistrellus kuhlii,feces,2015,,PRJNA485481,"Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015, complete genome",0,NC_046964,2015.0,known
NC_046965,Canada goose coronavirus,,"Papineau,A., Berhane,Y., Wylie,T.N., Wylie,K.M., Sharpe,S., Lung,O., Wylie,T., Wylie,K.","National Center for Biotechnology Information, NIH",USA,2020-04-12,,Canada goose coronavirus,Gammacoronavirus,Coronaviridae,ssRNA(+),28539,RefSeq,complete,,,1.0,Canada,Canada,,Branta canadensis,feces,2017-08,,PRJNA485481,"Canada goose coronavirus strain Cambridge_Bay_2017, complete genome",0,NC_046965,2017.0,known
NC_006213,Human coronavirus OC43,,"St-Jean,J.R., Jacomy,H., Desforges,M., Vabret,A., Freymuth,F., Talbot,P.J.","National Center for Biotechnology Information, NIH",USA,2019-02-21,,Betacoronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30741,RefSeq,complete,OC43,,1.0,USA,USA,,NA,,nan,,PRJNA485481,"Human coronavirus OC43 strain ATCC VR-759, complete genome",0,NC_006213,2019.0,unknown
NC_011547,Bulbul coronavirus HKU11-934,,"Woo,P.C., Lau,S.K., Lam,C.S., Lai,K.K., Huang,Y., Lee,P., Luk,G.S., Dyrting,K.C., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lai,K.K.Y., Luk,G.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Bulbul coronavirus HKU11,Deltacoronavirus,Coronaviridae,ssRNA(+),26487,RefSeq,complete,,,1.0,Hong Kong,Hong Kong,,Pycnonotus jocosus,,2007-01,,PRJNA485481,"Bulbul coronavirus HKU11-934, complete genome",0,NC_011547,2007.0,known
NC_038861,Transmissible gastroenteritis virus,,"Almazan,F., Gonzalez,J.M., Penzes,Z., Izeta,A., Calvo,E., Plana-Duran,J., Enjuanes,L.","National Center for Biotechnology Information, NIH",USA,2018-08-24,PUR46-MAD,Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),28586,RefSeq,complete,,,1.0,USA:Indiana,USA,IN,Sus scrofa,,nan,,PRJNA485481,"Transmissible gastroenteritis virus complete genome, genomic RNA",0,NC_038861,2018.0,unknown
NC_039207,Betacoronavirus Erinaceus/VMC/DEU/2012,,"Corman,V.M., Kallies,R., Philipps,H., Gopner,G., Muller,M.A., Eckerle,I., Brunink,S., Drosten,C., Drexler,J.F.","National Center for Biotechnology Information, NIH",USA,2018-08-24,ErinaceusCoV/2012-174/GER/2012,Hedgehog coronavirus 1,Betacoronavirus,Coronaviridae,ssRNA(+),30148,RefSeq,complete,,,1.0,Germany,Germany,,Erinaceus europaeus,feces,2012,,PRJNA485481,"Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, complete genome",0,NC_039207,2012.0,known
NC_039208,Porcine coronavirus HKU15,,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Coronavirus HKU15,Deltacoronavirus,Coronaviridae,ssRNA(+),25425,RefSeq,complete,,,1.0,China: Hong Kong,China,,Sus scrofa,,2010,,PRJNA485481,"Porcine coronavirus HKU15 strain HKU15-155, complete genome",0,NC_039208,2010.0,known
NC_035191,Wencheng Sm shrew coronavirus,,"Wang,W., Lin,X.D., Liao,Y., Guan,X.Q., Guo,W.P., Xing,J.G., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2017-07-14,Xingguo-101,Wencheng Sm shrew coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),25995,RefSeq,complete,,,1.0,China,China,,Suncus murinus,,2015,,PRJNA485481,"Wencheng Sm shrew coronavirus isolate Xingguo-101 ORF1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",0,NC_035191,2015.0,known
NC_034972,Coronavirus AcCoV-JC34,,"Ge,X.Y., Yang,W.H., Zhou,J.H., Li,B., Zhang,W., Shi,Z.L., Zhang,Y.Z., Ge,X.-Y., Zhang,Y.-Z., Yang,W.-H., Zhou,J.-H., Shi,Z.-L.","National Center for Biotechnology Information, NIH",USA,2017-06-13,AcCoV-JC34,Coronavirus AcCoV-JC34,Alphacoronavirus,Coronaviridae,ssRNA(+),27682,RefSeq,complete,,,1.0,China,China,,Apodemus chevrieri,,2011-10,,PRJNA485481,"Coronavirus AcCoV-JC34, complete genome",0,NC_034972,2011.0,known
NC_034440,Bat coronavirus,,"Anthony,S.J., Gilardi,K., Menachery,V.D., Goldstein,T., Ssebide,B., Mbabazi,R., Navarrete-Macias,I., Liang,E., Wells,H., Hicks,A., Petrosov,A., Byarugaba,D.K., Debbink,K., Dinnon,K.H., Scobey,T., Randell,S.H., Yount,B.L., Cranfield,M., Johnson,C.K., Baric,R.S., Lipkin,W.I., Mazet,J.A., Gilardi,K.V., Wells,H.L., Hicks,A.L., Byarugaba,D., Mazet,J.K.","National Center for Biotechnology Information, NIH",USA,2017-05-05,PREDICT/PDF-2180,Bat coronavirus,,Coronaviridae,ssRNA(+),29642,RefSeq,complete,,,1.0,Uganda,Uganda,,Pipistrellus,feces,2013-02-20,,PRJNA485481,"Bat coronavirus isolate PREDICT/PDF-2180, complete genome",0,NC_034440,2013.0,known
NC_032730,Lucheng Rn rat coronavirus,,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Wang,C.Q., Ge,S., Mei,S.H., Shi,M., Lin,X.-D., Zhou,R.-H., Guo,W.-P., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2017-01-17,Lucheng-19,Lucheng Rn rat coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),28763,RefSeq,complete,,,2.0,China,China,,Rattus norvegicus,,2013,,PRJNA485481,"Lucheng Rn rat coronavirus isolate Lucheng-19, complete genome",0,NC_032730,2013.0,known
NC_032107,NL63-related bat coronavirus,,"Tao,Y., Shi,M., Chommanard,C., Queen,K., Zhang,J., Markotter,W., Kuzmin,I.V., Holmes,E.C., Tong,S., Kuzmin,I.","National Center for Biotechnology Information, NIH",USA,2016-12-14,,NL63-related bat coronavirus strain BtKYNL63-9b,Alphacoronavirus,Coronaviridae,ssRNA(+),28363,RefSeq,complete,,,1.0,Kenya,Kenya,,Triaenops afer,feces,2010-06-21,,PRJNA485481,"NL63-related bat coronavirus strain BtKYNL63-9a, complete genome",0,NC_032107,2010.0,known
NC_030886,Rousettus bat coronavirus,,"Obameso,J.O., Li,H., Jia,H., Han,M., Zhu,S., Huang,C., Zhao,Y., Zhao,M., Bai,Y., Yuan,F., Zhao,H., Peng,X., Xu,W., Tan,W., Yuen,K.Y., Liu,W.J., Lu,L., Gao,G.F., Jin,T., Song,J., Shi,Y., Ji,W., Zhou,Y., Wen,H., Liu,H., Wang,Q., Wu,Y., Wang,L., Liu,D., Liu,G., Yu,H., Holmes,E.C., Liu,J., Holmes,E.","National Center for Biotechnology Information, NIH",USA,2016-09-12,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Betacoronavirus,Coronaviridae,ssRNA(+),30161,RefSeq,complete,,,2.0,China,China,,Rousettus leschenaultii,feces,2014-05-28,,PRJNA485481,"Rousettus bat coronavirus isolate GCCDC1 356, complete genome",0,NC_030886,2014.0,known
NC_030292,Ferret coronavirus,,"Lamers,M.M., Smits,S.L., Hundie,G.B., Provacia,L.B., Koopmans,M., Osterhaus,A.D.M.E., Haagmans,B.L., Raj,V.S., Stalin Raj,V., Provacia,L.B.V.","National Center for Biotechnology Information, NIH",USA,2016-06-10,FRCoV-NL-2010,Ferret coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),28434,RefSeq,complete,,,1.0,Netherlands,Netherlands,,Mustela putorius,,2010,,PRJNA485481,"Ferret coronavirus isolate FRCoV-NL-2010, complete genome",0,NC_030292,2010.0,known
NC_028752,Camel alphacoronavirus,,"Sabir,J.S., Lam,T.T., Ahmed,M.M., Li,L., Shen,Y., Abo-Aba,S.E., Qureshi,M.I., Abu-Zeid,M., Zhang,Y., Khiyami,M.A., Alharbi,N.S., Hajrah,N.H., Sabir,M.J., Mutwakil,M.H., Kabli,S.A., Alsulaimany,F.A., Obaid,A.Y., Zhou,B., Smith,D.K., Holmes,E.C., Zhu,H., Guan,Y., Sabir,J.S.M., Lam,T.Y., AboAba,S., Abu-Zaid,M., Mutwakil,M.H.Z., Alsulaimany,F.A.S.","National Center for Biotechnology Information, NIH",USA,2016-01-05,camel/Riyadh/Ry141/2015,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),27395,RefSeq,complete,,,1.0,Saudi Arabia,Saudi Arabia,,Camelus,,2015-03,,PRJNA485481,"Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome",0,NC_028752,2015.0,known
NC_028806,Swine enteric coronavirus,,"Boniotti,M.B., Papetti,A., Lavazza,A., Alborali,G., Sozzi,E., Chiapponi,C., Faccini,S., Bonilauri,P., Cordioli,P., Marthaler,D.","National Center for Biotechnology Information, NIH",USA,2016-01-05,,Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),28111,RefSeq,complete,,,1.0,Italy,Italy,,Sus scrofa,,2009-09-04,,PRJNA485481,"Swine enteric coronavirus strain Italy/213306/2009, complete genome",0,NC_028806,2009.0,known
NC_028811,BtMr-AlphaCoV/SAX2011,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2016-01-05,BtMr-SAX2011,Myotis ricketti alphacoronavirus Sax-2011,Alphacoronavirus,Coronaviridae,ssRNA(+),27935,RefSeq,complete,,,1.0,China,China,,Myotis ricketti,,2011,,PRJNA485481,"BtMr-AlphaCoV/SAX2011, complete genome",0,NC_028811,2011.0,known
NC_028814,BtRf-AlphaCoV/HuB2013,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2016-01-05,BtRf-HuB2013,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,Coronaviridae,ssRNA(+),27608,RefSeq,complete,,,1.0,China,China,,Rhinolophus ferrumequinum,,2013,,PRJNA485481,"BtRf-AlphaCoV/HuB2013, complete genome",0,NC_028814,2013.0,known
NC_028824,BtRf-AlphaCoV/YN2012,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2016-01-05,BtRf-YN2012,BtRf-AlphaCoV/YN2012,Alphacoronavirus,Coronaviridae,ssRNA(+),26975,RefSeq,complete,,,1.0,China,China,,Rhinolophus ferrumequinum,,2012,,PRJNA485481,"BtRf-AlphaCoV/YN2012, complete genome",0,NC_028824,2012.0,known
NC_028833,BtNv-AlphaCoV/SC2013,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2016-01-05,BtNv-SC2013,Nyctalus velutinus alphacoronavirus SC-2013,Alphacoronavirus,Coronaviridae,ssRNA(+),27783,RefSeq,complete,,,1.0,China,China,,Nyctalus velutinus,,2013,,PRJNA485481,"BtNv-AlphaCoV/SC2013, complete genome",0,NC_028833,2013.0,known
NC_026011,Betacoronavirus HKU24,,"Lau,S.K., Woo,P.C., Li,K.S., Tsang,A.K., Fan,R.Y., Luk,H.K., Cai,J.P., Chan,K.H., Zheng,B.J., Wang,M., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Tsang,A.K.L., Fan,R.Y.Y., Luk,H.K.H., Cai,J.-P., Chan,K.-H., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2015-01-07,,China Rattus coronavirus HKU24,Betacoronavirus,Coronaviridae,ssRNA(+),31249,RefSeq,complete,,,1.0,China,China,,Rattus norvegicus,,2012-05-17,,PRJNA485481,"Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",0,NC_026011,2012.0,known
NC_025217,Bat Hp-betacoronavirus/Zhejiang2013,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","National Center for Biotechnology Information, NIH",USA,2014-10-03,Zhejiang2013,Bat Hp-betacoronavirus Zhejiang2013,Betacoronavirus,Coronaviridae,ssRNA(+),31491,RefSeq,complete,,,2.0,China,China,,Hipposideros pratti,,2013-04-29,,PRJNA485481,"Bat Hp-betacoronavirus/Zhejiang2013, complete genome",0,NC_025217,2013.0,known
NC_023760,Mink coronavirus strain WD1127,,"Vlasova,A.N., Halpin,R., Wang,S., Ghedin,E., Spiro,D.J., Saif,L.J., Spiro,D., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A., Saif,L.","National Center for Biotechnology Information, NIH",USA,2014-03-12,,Mink coronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),28941,RefSeq,complete,,,1.0,USA: Wisconsin,USA,WI,Neogale vison,,1998-01-01,,PRJNA485481,"Mink coronavirus strain WD1127, complete genome",0,NC_023760,1998.0,known
AC_000192,Murine hepatitis virus strain JHM,,"Baker,S., Nielsen,E.M., Jukneliene,D., the PATRIC-BRC project (https://patric.vbi.vt.edu), the PATRIC-BRC project  (https://patric.vbi.vt.edu)","National Center for Biotechnology Information, NIH",USA,2013-12-20,,Murine coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),31526,RefSeq,complete,,,,,,,NA,,nan,,PRJNA485481,"Murine hepatitis virus strain JHM, complete genome",0,AC_000192,2013.0,known
NC_022103,Bat coronavirus CDPHE15/USA/2006,,"Town,C.D., Halpin,R.A., Nguyen,A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E., Holmes,K.","National Center for Biotechnology Information, NIH",USA,2013-08-20,,Bat coronavirus CDPHE15,Alphacoronavirus,Coronaviridae,ssRNA(+),28035,RefSeq,complete,,,,"USA: Boulder County, CO",USA,CO,Myotis lucifugus,,2006-08-07,,PRJNA485481,"Bat coronavirus CDPHE15/USA/2006, complete genome",0,NC_022103,2006.0,known
NC_019843,Middle East respiratory syndrome-related coronavirus,,"Zaki,A.M., van Boheemen,S., Bestebroer,T.M., Osterhaus,A.D., Fouchier,R.A., de Graaf,M., Lauber,C., Raj,V.S., Haagmans,B.L., Gorbalenya,A.E., Snijder,E.J., Victor,S.R., Osterhaus,A.D.M.E., Fouchier,R.A.M.","National Center for Biotechnology Information, NIH",USA,2012-12-13,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),30119,RefSeq,complete,,,2.0,,,,Homo sapiens,,2012-06-13,,PRJNA485481,"Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, complete genome",1,NC_019843,2012.0,known
NC_018871,Rousettus bat coronavirus HKU10,,"Lau,S.K., Li,K.S., Tsang,A.K., Shek,C.T., Wang,M., Choi,G.K., Guo,R., Wong,B.H., Poon,R.W., Lam,C.S., Wang,S.Y., Fan,R.Y., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Tsang,A.K.L., Shek,C.-T., Choi,G.K.Y., Wong,B.H.L., Poon,R.W.S., Lam,C.S.F., Wang,S.Y.H., Fan,R.Y.Y., Chan,K.-H., Zheng,B.-J., Yuen,K.-Y.","National Center for Biotechnology Information, NIH",USA,2012-10-18,183A,Bat coronavirus HKU10,Alphacoronavirus,Coronaviridae,ssRNA(+),28494,RefSeq,complete,,,1.0,China,China,,Chiroptera,,2005-10,,PRJNA485481,"Rousettus bat coronavirus HKU10, complete genome",0,NC_018871,2005.0,known
